advertiserId,programmeName,conversionRate,approvalRate,epc,launchDate,paymentStatus,paymentRiskLevel,awinIndex,feedEnabled,productReporting,commissionMin,commissionMax,leadMin,leadMax,cookieLength,parentSectors,subSectors,primarySector,averagePaymentTime,primaryRegion,descriptionShort,logoUrl,displayUrl
121268,DYU Bikes,100,66.67,586.17,2025-10-24,amber,exposurelevel2,72.3333,yes,no,0,0,0,0,30,Retail & Shopping,Sports Equipment|Sportswear,Sports Equipment,66,PL,"DYU Bikes offers a range of innovative electric bikes and scooters designed for convenient, eco-friendly urban transportation. Join our affiliate program and earn a commission promoting our top-quality e-mobility products.",https://ui.awin.com/images/upload/merchant/profile/121268.png,https://dyubikes.com/
82507,Worm Nerd,100,100.00,37.74,2025-08-05,amber,exposurelevel5,0,no,yes,0,0,0,0,30,Retail & Shopping,Home & Garden,Home & Garden,null,US,"Worm Nerd organically raises composting worms with recycled foods. We sell live worms, castings, worm tea, & other worm related items. We have a 15% coupon you could promote to your customers available in the creative section.  Thank you!",https://ui.awin.com/images/upload/merchant/profile/82507.png,https://www.wormnerd.com
101359,Heyjoanie LLC,100,33.33,18.41,2025-07-24,green,none,34.1739,no,yes,0,0,0,0,90,,Clothing,Clothing,75,US,"Welcome to the Hey Joanie Affiliate Program!

Hey Joanie is a sustainable denim brand inspired by 80s nostalgia and modern style. We specialize in creating premium denim for women, with a focus on petite-friendly sizing, while offering flatter",https://ui.awin.com/images/upload/merchant/profile/101359.png,https://www.heyjoanie.com
64202,Under Your Skin US LLC,100,100.00,8.95,2025-07-30,green,none,72.5617,no,yes,0,0,0,0,90,Retail & Shopping,Clothing Accessories,Clothing Accessories,63,US,"Under Your Skin is a Swedish scalp and skincare brand rooted in hormone-safe, plant-powered formulations. We create clean, effective products designed to support skin and scalp health from the inside out. All of our products are vegan, cruelty-f",https://ui.awin.com/images/upload/merchant/profile/64202.png,https://underyourskin.com
118271,Framed Works,100,100.00,19.41,2025-07-21,amber,exposurelevel4,72.2743,no,no,0,0,0,0,30,Retail & Shopping,Furniture & Soft Furnishings,Furniture & Soft Furnishings,null,GB,"Framed Works offer 100s of designs and 1000s of prints, from many of the UK's most popular artists, in stock and ready to frame and ship out in just two to three business days. We make every product by hand, bespoke-to-order, and ship within just 2 days.",https://ui.awin.com/images/upload/merchant/profile/118271.png,https://www.framedworks.co.uk/
119519,Montret (US),100,100.00,4.81,2025-09-10,amber,exposurelevel4,74.8143,no,yes,0,0,0,0,30,Retail & Shopping,Clothing|Clothing Accessories,Clothing,null,US,"Committed to fashion and obsessed with design, Montret is an upscale online shopping experience that offers a carefully curated collection of brand names and authentic designer items for the most discerning and dedicated fashion-forward individuals – and",https://ui.awin.com/images/upload/merchant/profile/119519.png,https://montret.com/
121270,Kraftgras DE,100,100.00,0.58,2025-11-03,amber,exposurelevel1,0,yes,no,0,0,0,0,30,Retail & Shopping,Health & Beauty|Sports Equipment,Health & Beauty,null,DE,"Wir sind Kraftgras, ein leidenschaftliches Team aus St. Gallen, Schweiz. Inspiriert von der Kraft der Gräser entstand unsere Vision: ehrliche, hochwertige Produkte, die mit wenigen, gezielt ausgewählten Inhaltsstoffen Grosses bewirken. Chlorophyll ist uns",https://ui.awin.com/images/upload/merchant/profile/121270.png,https://www.kraftgras.de/
121906,Bright & Bold Swim (US),100,100.00,4.00,2025-11-10,green,none,75.4,no,no,0,0,0,0,30,Retail & Shopping,Childrenswear,Childrenswear,null,US,"Bright  Bold Swim designs high-visibility children's swimwear that helps parents easily spot their kids in crowded pools and beaches. Our vibrant, durable swimsuits prioritize water safety without sacrificing style or comfort.",https://ui.awin.com/images/upload/merchant/profile/121906.png,https://brightboldswim.com/
92983,Sense-U Baby,100,100.00,18.00,2025-08-11,amber,exposurelevel5,62.7995,yes,yes,0,0,0,0,30,Retail & Shopping,Home & Garden,Home & Garden,73,US,"At Sense-U, our mission is to ensure every baby’s safety and to bring more joy to every parent’s journey. We are collaborating with select publishers and websites to promote our award-winning Sense-U baby monitors and nursing products.


Memb",https://ui.awin.com/images/upload/merchant/profile/92983.png,https://shop.sense-u.com/products/baby3?utm_source=aff&utm_medium=SaS&utm_campaign=aff_sas&utm_content=bb3
97377,Monument,100,13.78,123.20,2025-06-18,green,none,27.199,yes,yes,0,0,0,0,90,Retail & Shopping,Home & Garden,Home & Garden,73,US,"Monument Grills  is one of the top grill brand and is known around Europe, North America and Asia countries. We have over 30 years of experience in supplying professional high-quality grills. 


With many popular gas, pellet and charcoal gril",https://ui.awin.com/images/upload/merchant/profile/97377.png,https://monumentgrills.com/collections/gas-grills
